Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Monument,Fort Union NM,"11,063",220,"13,055",22,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Fossil Butte NM,"20,554",294,"28,213",199,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,George Washington Birthplace NM,"139,666","7,200","432,389","7,200",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,George Washington Carver NM,"49,553",0,"64,418",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Gila Cliff Dwellings NM,"66,614",0,"99,922",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Governors Island NM,"590,993",0,"1,181,986",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Grand Portage NM,"94,985",0,"208,048",0,0,0,0,0,57,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Hagerman Fossil Beds NM,"23,768",0,"35,652",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Homestead NM of America,"61,636","320,156","104,199","51,225",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Hovenweep NM,"35,399",300,"123,552",60,0,0,877,"1,321",0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Jewel Cave NM,"123,489",105,"314,886",105,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,John Day Fossil Beds NM,"197,091",840,"228,625",84,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Lava Beds NM,"109,630",771,"409,243",381,0,0,"7,638","3,574",27,0,22,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Little Bighorn Battlefield NM,"241,304","2,126","241,304","1,063",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Montezuma Castle NM,"376,254",0,"376,254",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Muir Woods NM,"812,073",0,"1,082,495",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Natural Bridges NM,"88,090",800,"512,117",400,0,0,"3,096","3,263",0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Navajo NM,"49,983",0,"156,429",0,0,0,"2,378","2,250",287,0,127,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Oregon Caves NM & PRES,"65,006",520,"195,014","1,040",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Organ Pipe Cactus NM,"263,186","1,288,060","782,137","644,028",0,0,"6,920","24,974",277,0,65,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Petroglyph NM,"293,957",0,"587,916",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Pipe Spring NM,"27,482",404,"41,223",900,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Pipestone NM,"77,508",0,"193,769",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Rainbow Bridge NM,"115,108",0,"172,663",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Russell Cave NM,"16,642",0,"28,875",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Salinas Pueblo Missions NM,"31,672",0,"62,830",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Scotts Bluff NM,"166,007",0,"315,414",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Statue of Liberty NM,"4,240,461",0,"19,082,074",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Stonewall NM,"2,088,929",0,"2,046,591",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Sunset Crater Volcano NM,"108,379","12,000","135,472","3,996",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Timpanogos Cave NM,"103,512",0,"204,192",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Tonto NM,"28,853",0,"50,923",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Tuzigoot NM,"98,538",0,"98,538",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Waco Mammoth NM,"111,331","7,835","145,144","3,083",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Walnut Canyon NM,"152,333",480,"198,036",240,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Wupatki NM,"187,059","6,531","374,619","3,920",0,0,0,0,28,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Acadia NP,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Arches NP,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Badlands NP,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Big Bend NP,"463,832","2,364","10,496,353","7,092","49,227","12,618","54,402","28,845","23,320",0,"37,020",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Biscayne NP,"708,522",0,"2,205,175",0,0,0,238,0,0,0,"3,079",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Black Canyon of the Gunnison NP,"432,818",0,"2,194,503",0,0,0,"17,796","12,273","1,861",0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Bryce Canyon NP,"2,594,904","416,166","12,705,683","124,850","52,566",0,"30,080","23,653","1,394",0,509,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Canyonlands NP,"733,996",0,"5,152,749",0,0,0,"9,135","7,785","77,695",0,508,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Capitol Reef NP,"1,226,519","56,871","1,909,572","56,871",0,0,"25,665","23,993","4,010",0,"2,738",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Carlsbad Caverns NP,"440,691",0,"1,687,906",0,0,0,0,0,225,0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Channel Islands NP,"409,630","4,445","5,411,445","106,705",0,0,0,0,"23,411","7,888","45,077",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Congaree NP,"159,445",0,"670,956",0,0,0,0,0,881,0,"8,750",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Crater Lake NP,"704,512","49,600","3,411,782","24,800","34,616","12,478","4,694",0,"2,436",0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Cuyahoga Valley NP,"2,237,997",0,"6,555,235",0,"7,777",0,0,0,0,0,"1,439",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Death Valley NP,"1,740,945","68,981","12,025,316","103,472","27,759","4,360","74,511","97,574","1,915",0,454,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Denali NP & PRES,"601,152","787,826","6,634,699","196,956",0,"26,382",0,0,"26,211",0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Dry Tortugas NP,"79,200","2,586","613,198","31,032",0,0,"6,786",0,0,"2,586","8,855",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Everglades NP,"1,118,300","6,000","4,963,388","27,000",0,"26,901",0,0,"12,732",0,923,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Gates of the Arctic NP & PRES,"10,518",0,"102,366",0,0,0,0,0,"4,058",0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Gateway Arch NP,"2,055,309",0,"8,221,233",0,0,0,0,0,0,0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Glacier Bay NP & PRES,"672,087",489,"8,564,620","70,700","14,408",0,744,0,"4,211","2,840","14,938",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Glacier NP,"3,049,839","13,103","33,979,881","113,622","119,960",0,"118,181","126,099","34,759",0,926,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Grand Canyon NP,"5,974,411","21,249","93,995,133","21,249","575,922","47,401","120,208","63,565","320,032",0,"25,201",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Grand Teton NP,"3,405,614","1,610,087","21,202,805","1,610,087","214,935","312,155",0,0,"36,292",0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Great Basin NP,"131,802",896,"1,282,751",449,0,0,"20,735","17,813",48,0,328,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Great Sand Dunes NP & PRES,"527,546",470,"2,716,008",470,0,0,"29,376","21,867","4,933",0,"7,889",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Great Smoky Mountains NP,"12,547,743","10,544,367","91,203,583","5,272,185","10,955",0,"155,409","113,540","94,569",0,"18,828",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Guadalupe Mountains NP,"188,833","1,440","441,192","1,440",0,0,"10,621","6,383","2,838",0,"1,464",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Haleakala NP,"994,394","20,160","2,289,074","20,160",0,0,"9,071",0,"1,616",0,"1,825",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Hawaii Volcanoes NP,"1,368,376","1,849,253","8,491,902","610,253","23,558","4,509","1,091",41,"3,658",0,"58,392",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Hot Springs NP,"1,467,153","2,231,219","1,352,979","446,244",0,0,"1,455","24,251",0,0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Indiana Dunes NP,"2,134,285","4,054","5,721,279","2,024",0,0,"16,316","6,468",0,0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Isle Royale NP,"26,410",291,"1,335,648","25,268","12,308",172,"4,902",0,"26,899","1,035","9,932",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Joshua Tree NP,"2,988,547","10,442","17,489,850","10,442",0,0,"232,300","78,192","18,184",0,"60,997",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Katmai NP & PRES,"84,167",0,"256,745",0,"4,268",0,"2,560",0,458,0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Kenai Fjords NP,"356,601",0,"1,175,974",0,0,0,"1,076",0,566,0,0,National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Park,Kings Canyon NP,"632,110","29,261","21,026,493","117,044","57,092",0,"103,643","32,589","15,650",0,"2,411",National Park Total,"89,815,063","24,016,446","754,393,952","15,995,496","2,966,428","973,338","2,615,727","1,519,216","1,311,925","21,449","448,255","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
