Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Historic Site,Fort Union Trading Post NHS,"12,967",515,"15,644",127,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Vancouver NHS,"1,018,214","96,000","1,097,774","768,000",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Frederick Douglass NHS,"61,063",0,"61,063",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Frederick Law Olmsted NHS,"7,791",613,"15,582","1,170",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Friendship Hill NHS,"34,159",0,"80,665",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Grant-Kohrs Ranch NHS,"25,043",0,"30,803",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Hampton NHS,"28,234",600,"42,351",600,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Harry S Truman NHS,"30,746",0,"23,299",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Herbert Hoover NHS,"125,688","18,000","125,688","1,200",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Home of Franklin D. Roosevelt NHS,"147,109",0,"235,447",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Hopewell Furnace NHS,"49,861",600,"59,834",300,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Hubbell Trading Post NHS,"50,285","4,584","25,982","1,056",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,James A. Garfield NHS,"41,305",0,"82,610",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Jimmy Carter NHS,"50,789",0,"58,905",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,John F. Kennedy NHS,"24,838",0,"12,420",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,John Muir NHS,"40,725",61,"61,087",15,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Knife River Indian Villages NHS,"10,354",552,"14,948",279,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Lincoln Home NHS,"197,816",797,"175,683","2,323",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Little Rock Central High School NHS,"168,918",0,"168,918",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Longfellow House Washington's HQ NHS,"55,012",0,"82,517",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
